target,momentum_decile,si_decile,n,events,event_rate,momentum_row_n,momentum_row_event_rate,incremental_vs_momentum_row,incremental_lift_vs_momentum_row,overall_event_rate
down_5pct_5d,6,8,208,30,0.14423076923076922,2973,0.11873528422468886,0.025495485006080357,1.2147254303769883,0.1434433010158499
down_5pct_5d,6,9,255,57,0.2235294117647059,2973,0.11873528422468886,0.10479412754001703,1.8825862356273957,0.1434433010158499
down_5pct_5d,6,10,181,24,0.13259668508287292,2973,0.11873528422468886,0.013861400858184061,1.11674205312006,0.1434433010158499
down_5pct_5d,7,1,351,39,0.1111111111111111,3021,0.11287653095001655,-0.0017654198389054493,0.9843597262952101,0.1434433010158499
down_5pct_5d,7,2,540,39,0.07222222222222222,3021,0.11287653095001655,-0.04065430872779434,0.6398338220918866,0.1434433010158499
down_5pct_5d,7,3,332,25,0.07530120481927711,3021,0.11287653095001655,-0.03757532613073944,0.6671112602904287,0.1434433010158499
down_5pct_5d,7,4,274,22,0.08029197080291971,3021,0.11287653095001655,-0.03258456014709685,0.7113256416293854,0.1434433010158499
down_5pct_5d,7,5,244,35,0.14344262295081966,3021,0.11287653095001655,0.03056609200080311,1.2707922696024228,0.1434433010158499
down_5pct_5d,7,6,340,35,0.10294117647058823,3021,0.11287653095001655,-0.009935354479428324,0.9119803346558564,0.1434433010158499
down_5pct_5d,7,7,292,39,0.13356164383561644,3021,0.11287653095001655,0.02068511288559989,1.1832543285260917,0.1434433010158499
down_5pct_5d,7,8,208,34,0.16346153846153846,3021,0.11287653095001655,0.05058500751152191,1.4481445973381457,0.1434433010158499
down_5pct_5d,7,9,272,44,0.16176470588235295,3021,0.11287653095001655,0.048888174932336395,1.433111954459203,0.1434433010158499
down_5pct_5d,7,10,168,29,0.17261904761904762,3021,0.11287653095001655,0.05974251666903106,1.52927314620863,0.1434433010158499
down_5pct_5d,8,1,364,51,0.1401098901098901,3025,0.1196694214876033,0.02044046862228681,1.1708077833768442,0.1434433010158499
down_5pct_5d,8,2,487,48,0.09856262833675565,3025,0.1196694214876033,-0.021106793150847653,0.8236241732560382,0.1434433010158499
down_5pct_5d,8,3,338,23,0.06804733727810651,3025,0.1196694214876033,-0.051622084209496794,0.5686276112327961,0.1434433010158499
down_5pct_5d,8,4,283,44,0.15547703180212014,3025,0.1196694214876033,0.03580761031451683,1.2992210530425785,0.1434433010158499
down_5pct_5d,8,5,226,36,0.1592920353982301,3025,0.1196694214876033,0.03962261391062678,1.331100572043221,0.1434433010158499
down_5pct_5d,8,6,366,25,0.06830601092896176,3025,0.1196694214876033,-0.05136341055864155,0.5707891797240588,0.1434433010158499
down_5pct_5d,8,7,315,50,0.15873015873015872,3025,0.1196694214876033,0.03906073724255542,1.3264053319301938,0.1434433010158499
down_5pct_5d,8,8,225,19,0.08444444444444445,3025,0.1196694214876033,-0.035224977043158856,0.7056476365868631,0.1434433010158499
down_5pct_5d,8,9,259,34,0.13127413127413126,3025,0.1196694214876033,0.011604709786527959,1.0969730582990251,0.1434433010158499
down_5pct_5d,8,10,162,32,0.19753086419753085,3025,0.1196694214876033,0.07786144270992755,1.650637746402019,0.1434433010158499
down_5pct_5d,9,1,366,53,0.1448087431693989,3007,0.14898570003325573,-0.004176956863856829,0.9719640417642467,0.1434433010158499
down_5pct_5d,9,2,426,35,0.08215962441314555,3007,0.14898570003325573,-0.06682607562011018,0.5514598004694836,0.1434433010158499
down_5pct_5d,9,3,299,32,0.10702341137123746,3007,0.14898570003325573,-0.041962288662018274,0.7183468705207836,0.1434433010158499
down_5pct_5d,9,4,249,49,0.19678714859437751,3007,0.14898570003325573,0.047801448561121784,1.3208458835341366,0.1434433010158499
down_5pct_5d,9,5,276,55,0.19927536231884058,3007,0.14898570003325573,0.050289662285584846,1.3375469073498965,0.1434433010158499
down_5pct_5d,9,6,358,44,0.12290502793296089,3007,0.14898570003325573,-0.02608067210029484,0.8249451316839586,0.1434433010158499
down_5pct_5d,9,7,310,59,0.19032258064516128,3007,0.14898570003325573,0.041336880611905547,1.277455357142857,0.1434433010158499
down_5pct_5d,9,8,212,18,0.08490566037735849,3007,0.14898570003325573,-0.06408003965589724,0.5698913409703504,0.1434433010158499
down_5pct_5d,9,9,330,64,0.19393939393939394,3007,0.14898570003325573,0.04495369390613821,1.3017316017316019,0.1434433010158499
down_5pct_5d,9,10,181,39,0.2154696132596685,3007,0.14898570003325573,0.06648391322641278,1.4462435872138912,0.1434433010158499
down_5pct_5d,10,1,451,81,0.17960088691796008,3147,0.22974261201143947,-0.05014172509347939,0.7817482588254777,0.1434433010158499
down_5pct_5d,10,2,265,34,0.12830188679245283,3147,0.22974261201143947,-0.10144072521898664,0.5584592499804274,0.1434433010158499
down_5pct_5d,10,3,298,46,0.15436241610738255,3147,0.22974261201143947,-0.07538019590405692,0.6718928402350386,0.1434433010158499
down_5pct_5d,10,4,274,74,0.27007299270072993,3147,0.22974261201143947,0.04033038068929046,1.17554593088409,0.1434433010158499
down_5pct_5d,10,5,384,123,0.3203125,3147,0.22974261201143947,0.09056988798856053,1.3942232883817427,0.1434433010158499
down_5pct_5d,10,6,306,75,0.24509803921568626,3147,0.22974261201143947,0.015355427204246791,1.0668375233910992,0.1434433010158499
down_5pct_5d,10,7,399,102,0.2556390977443609,3147,0.22974261201143947,0.025896485732921415,1.1127195582316787,0.1434433010158499
down_5pct_5d,10,8,217,37,0.17050691244239632,3147,0.22974261201143947,-0.05923569956904315,0.7421649425397251,0.1434433010158499
down_5pct_5d,10,9,332,94,0.28313253012048195,3147,0.22974261201143947,0.05338991810904248,1.2323901414787783,0.1434433010158499
down_5pct_5d,10,10,221,57,0.2579185520361991,3147,0.22974261201143947,0.02817594002475965,1.1226413323069413,0.1434433010158499
down_7pct_5d,1,1,367,41,0.11171662125340599,2918,0.13296778615490062,-0.021251164901494632,0.8401780948903058,0.08431223321531385
down_7pct_5d,1,2,216,35,0.16203703703703703,2918,0.13296778615490062,0.02906925088213641,1.2186187476135928,0.08431223321531385
down_7pct_5d,1,3,179,19,0.10614525139664804,2918,0.13296778615490062,-0.02682253475825258,0.7982779473593272,0.08431223321531385
down_7pct_5d,1,4,233,19,0.0815450643776824,2918,0.13296778615490062,-0.051422721777218225,0.6132693243661784,0.08431223321531385
down_7pct_5d,1,5,404,84,0.2079207920792079,2918,0.13296778615490062,0.07495300592430729,1.5636929672348676,0.08431223321531385
down_7pct_5d,1,6,269,42,0.15613382899628253,2918,0.13296778615490062,0.023166042841381906,1.1742229716782278,0.08431223321531385
down_7pct_5d,1,7,372,34,0.0913978494623656,2918,0.13296778615490062,-0.04156993669253503,0.687368362709234,0.08431223321531385
down_7pct_5d,1,8,169,11,0.0650887573964497,2918,0.13296778615490062,-0.06787902875845092,0.4895077167083511,0.08431223321531385
down_7pct_5d,1,9,403,51,0.12655086848635236,2918,0.13296778615490062,-0.0064169176685482665,0.9517408099050932,0.08431223321531385
down_7pct_5d,1,10,306,52,0.16993464052287582,2918,0.13296778615490062,0.0369668543679752,1.2780136109426588,0.08431223321531385
down_7pct_5d,2,1,344,20,0.05813953488372093,3013,0.07865914371058745,-0.02051960882686652,0.7391325679521147,0.08431223321531385
down_7pct_5d,2,2,283,21,0.07420494699646643,3013,0.07865914371058745,-0.00445419671412102,0.9433734400858792,0.08431223321531385
down_7pct_5d,2,3,284,15,0.0528169014084507,3013,0.07865914371058745,-0.025842242302136748,0.6714655018719915,0.08431223321531385
down_7pct_5d,2,4,313,16,0.051118210862619806,3013,0.07865914371058745,-0.027540932847967645,0.6498699127809008,0.08431223321531385
down_7pct_5d,2,5,252,31,0.12301587301587301,3013,0.07865914371058745,0.04435672930528556,1.5639106556828075,0.08431223321531385
down_7pct_5d,2,6,297,24,0.08080808080808081,3013,0.07865914371058745,0.002148937097493364,1.0273196095980908,0.08431223321531385
down_7pct_5d,2,7,398,31,0.07788944723618091,3013,0.07865914371058745,-0.0007696964744065421,0.9902147870152451,0.08431223321531385
down_7pct_5d,2,8,249,18,0.07228915662650602,3013,0.07865914371058745,-0.00636998708408143,0.9190178435260028,0.08431223321531385
down_7pct_5d,2,9,386,47,0.12176165803108809,3013,0.07865914371058745,0.043102514320500634,1.5479657200323562,0.08431223321531385
