vol_group,vol_group_label,n,events,event_rate,spearman_si_target
0,low,33391,530,0.015872540504926477,0.01639347897012159
1,middle,33963,1103,0.032476518564319996,0.004925094877074471
2,high,34562,2744,0.07939355361379549,-0.0016708080145869462
