split,evaluation,prior_return_tail,si_tail,prior_return_signal,si_signal,target,high_momentum_high_si_n,high_momentum_other_si_n,other_momentum_high_si_n,other_momentum_other_si_n,high_momentum_high_si_events,high_momentum_other_si_events,other_momentum_high_si_events,other_momentum_other_si_events,high_momentum_high_si_event_rate,high_momentum_other_si_event_rate,other_momentum_high_si_event_rate,other_momentum_other_si_event_rate,high_momentum_si_event_effect,other_momentum_si_event_effect,event_rate_interaction,high_momentum_high_si_mean_return_1d,high_momentum_other_si_mean_return_1d,other_momentum_high_si_mean_return_1d,other_momentum_other_si_mean_return_1d,high_momentum_si_return_effect_1d,other_momentum_si_return_effect_1d,return_interaction_1d,high_momentum_high_si_mean_return_3d,high_momentum_other_si_mean_return_3d,other_momentum_high_si_mean_return_3d,other_momentum_other_si_mean_return_3d,high_momentum_si_return_effect_3d,other_momentum_si_return_effect_3d,return_interaction_3d,high_momentum_high_si_mean_return_5d,high_momentum_other_si_mean_return_5d,other_momentum_high_si_mean_return_5d,other_momentum_other_si_mean_return_5d,high_momentum_si_return_effect_5d,other_momentum_si_return_effect_5d,return_interaction_5d,high_momentum_high_si_mean_return_10d,high_momentum_other_si_mean_return_10d,other_momentum_high_si_mean_return_10d,other_momentum_other_si_mean_return_10d,high_momentum_si_return_effect_10d,other_momentum_si_return_effect_10d,return_interaction_10d,high_momentum_high_si_mean_return_20d,high_momentum_other_si_mean_return_20d,other_momentum_high_si_mean_return_20d,other_momentum_other_si_mean_return_20d,high_momentum_si_return_effect_20d,other_momentum_si_return_effect_20d,return_interaction_20d
window_1,validation,0.2,0.2,price_momentum_5d,short_interest_change,down_10pct_5d,228,5567,661,21789,18,349,40,598,0.07894736842105263,0.06269085683492007,0.060514372163388806,0.02744504107577218,0.01625651158613256,0.03306933108761663,-0.01681281950148407,-0.005339895864399157,-0.0004991953723287398,0.0011585315720146305,0.0006060856840189718,-0.004840700492070417,0.0005524458879956587,-0.0053931463800660755,-0.005556198061927245,-0.0010080366881720464,0.0036280761825354772,0.0017737733983923013,-0.004548161373755198,0.001854302784143176,-0.006402464157898374,-0.002917009600488701,-0.0010709904145885288,0.009309406724279875,0.002378541635533091,-0.001846019185900172,0.006930865088746784,-0.008776884274646957,-0.0028093420251951583,-0.0016728455922798318,0.01256176164945069,0.00431035897873574,-0.0011364964329153265,0.00825140267071495,-0.009387899103630276,-0.00092830220002156,0.0025271180435864284,0.019556625146368387,0.009515490384945246,-0.0034554202436079882,0.010041134761423142,-0.01349655500503113
window_1,validation,0.2,0.1,price_momentum_5d,short_interest_change,down_10pct_5d,228,5567,661,21789,18,349,40,598,0.07894736842105263,0.06269085683492007,0.060514372163388806,0.02744504107577218,0.01625651158613256,0.03306933108761663,-0.01681281950148407,-0.005339895864399157,-0.0004991953723287398,0.0011585315720146305,0.0006060856840189718,-0.004840700492070417,0.0005524458879956587,-0.0053931463800660755,-0.005556198061927245,-0.0010080366881720464,0.0036280761825354772,0.0017737733983923013,-0.004548161373755198,0.001854302784143176,-0.006402464157898374,-0.002917009600488701,-0.0010709904145885288,0.009309406724279875,0.002378541635533091,-0.001846019185900172,0.006930865088746784,-0.008776884274646957,-0.0028093420251951583,-0.0016728455922798318,0.01256176164945069,0.00431035897873574,-0.0011364964329153265,0.00825140267071495,-0.009387899103630276,-0.00092830220002156,0.0025271180435864284,0.019556625146368387,0.009515490384945246,-0.0034554202436079882,0.010041134761423142,-0.01349655500503113
window_1,validation,0.2,0.05,price_momentum_5d,short_interest_change,down_10pct_5d,226,5569,655,21795,18,349,38,600,0.07964601769911504,0.06266834261088167,0.05801526717557252,0.02752924982794219,0.016977675088233377,0.030486017347630328,-0.013508342259396951,-0.005459324943445106,-0.0004960871714165039,0.001221767656551423,0.000604337349077764,-0.004963237772028601,0.0006174303074736589,-0.00558066807950226,-0.0058493240271182126,-0.0009977744965064604,0.00441272184275634,0.0017507031028777427,-0.004851549530611753,0.002662018739878597,-0.00751356827049035,-0.0032376293167503014,-0.0010586420544694195,0.010132174859913459,0.0023557231937662852,-0.002178987262280882,0.007776451666147174,-0.009955438928428057,-0.0032842105693074246,-0.0016539827267557615,0.013368067882407629,0.00428839879674159,-0.0016302278425516631,0.009079669085666039,-0.010709896928217702,-0.0007545447652279701,0.0025188257073051287,0.020497121572999606,0.009489990116494918,-0.003273370472533099,0.011007131456504688,-0.014280501929037787
window_1,validation,0.2,0.025,price_momentum_5d,short_interest_change,down_10pct_5d,184,5611,510,21940,13,354,31,607,0.07065217391304347,0.06309035822491535,0.060784313725490195,0.027666362807657247,0.0075618156881281234,0.03311795091783295,-0.025556135229704825,-0.005515726176154376,-0.0005313889286089286,0.002031046793115533,0.0005896060379991854,-0.004984337247545448,0.001441440755116348,-0.006425778002661796,-0.003797572877341771,-0.0011013723029303702,0.0072164661630731,0.0017031225702396771,-0.002696200574411401,0.0055133435928334225,-0.008209544167244823,0.0034726055565403374,-0.001294999331550381,0.015291014073899335,0.002287198922684178,0.004767604888090718,0.013003815151215157,-0.00823621026312444,0.005447698867122354,-0.001952528601945611,0.016701657777271017,0.0042709157142913285,0.007400227469067965,0.012430742062979689,-0.005030514593911724,0.014808673548735236,0.001983963164154956,0.024303480089433373,0.009474255896705124,0.01282471038458028,0.014829224192728249,-0.002004513808147968
window_1,validation,0.2,0.01,price_momentum_5d,short_interest_change,down_10pct_5d,91,5704,251,22199,6,361,19,619,0.06593406593406594,0.06328892005610098,0.07569721115537849,0.02788413892517681,0.0026451458779649523,0.047813072230201675,-0.04516792635223672,-0.003560506785457187,-0.0006438483130014902,0.0016577284556915422,0.0006106446459665962,-0.002916658472455697,0.001047083809724946,-0.003963742282180643,0.0012360291963391102,-0.0012256367563183825,0.0008183064307326458,0.0018397906221051356,0.002461665952657493,-0.00102148419137249,0.0034831501440299828,0.011042336004979595,-0.001338031978151982,0.009935588031908174,0.002499469748428783,0.012380367983131576,0.007436118283479391,0.004944249699652185,0.014888591954000354,-0.0019824900529067926,0.014300147006218466,0.004443101010829276,0.016871082006907148,0.00985704599538919,0.007014036011517958,0.029497200664870844,0.001958725102829154,0.01975242610127933,0.009698729234105155,0.02753847556204169,0.010053696867174174,0.017484778694867517
window_1,validation,0.1,0.2,price_momentum_5d,short_interest_change,down_10pct_5d,140,2829,749,24527,16,252,42,695,0.11428571428571428,0.08907741251325557,0.056074766355140186,0.028336119378643942,0.02520830177245871,0.027738646976496244,-0.002530345204037533,-0.009249658235773842,-0.00132100072653476,0.0011258281242016032,0.0005774897617605952,-0.007928657509239082,0.000548338362441008,-0.00847699587168009,-0.016774542100180062,-0.003289580348017484,0.004645902660296059,0.001726392593429997,-0.013484961752162579,0.0029195100668660615,-0.01640447181902864,-0.017772296185029457,-0.003921933494933741,0.010649614314741918,0.0023222974646627684,-0.013850362690095715,0.00832731685007915,-0.022177679540174865,-0.022098707716711123,-0.004253484933358196,0.014361299798240279,0.0039400982285612415,-0.017845222783352925,0.010421201569679038,-0.028266424353031963,-0.018921832023005906,0.0005129444621612762,0.020513127908365035,0.008967683216975714,-0.01943477648516718,0.011545444691389321,-0.0309802211765565
window_1,validation,0.1,0.1,price_momentum_5d,short_interest_change,down_10pct_5d,140,2829,749,24527,16,252,42,695,0.11428571428571428,0.08907741251325557,0.056074766355140186,0.028336119378643942,0.02520830177245871,0.027738646976496244,-0.002530345204037533,-0.009249658235773842,-0.00132100072653476,0.0011258281242016032,0.0005774897617605952,-0.007928657509239082,0.000548338362441008,-0.00847699587168009,-0.016774542100180062,-0.003289580348017484,0.004645902660296059,0.001726392593429997,-0.013484961752162579,0.0029195100668660615,-0.01640447181902864,-0.017772296185029457,-0.003921933494933741,0.010649614314741918,0.0023222974646627684,-0.013850362690095715,0.00832731685007915,-0.022177679540174865,-0.022098707716711123,-0.004253484933358196,0.014361299798240279,0.0039400982285612415,-0.017845222783352925,0.010421201569679038,-0.028266424353031963,-0.018921832023005906,0.0005129444621612762,0.020513127908365035,0.008967683216975714,-0.01943477648516718,0.011545444691389321,-0.0309802211765565
window_1,validation,0.1,0.05,price_momentum_5d,short_interest_change,down_10pct_5d,139,2830,742,24534,16,252,40,697,0.11510791366906475,0.08904593639575972,0.05390835579514825,0.028409554088204125,0.02606197727330503,0.025498801706944126,0.0005631755663609052,-0.009328905867550173,-0.0013199099974507775,0.0011632995868087088,0.0005765129354494604,-0.008008995870099395,0.0005867866513592485,-0.008595782521458643,-0.016899456917187475,-0.003288209960098096,0.005279528420978095,0.0017080623682747837,-0.01361124695708938,0.003571466052703311,-0.01718271300979269,-0.018056827731804222,-0.003912852391643425,0.011340659518030372,0.0023037736070411216,-0.014143975340160798,0.00903688591098925,-0.02318086125115005,-0.02213912855450879,-0.004257805331354478,0.014947697767372292,0.0039253367187337285,-0.017881323223154312,0.011022361048638563,-0.028903684271792875,-0.01771565577771861,0.00044683376442979,0.02118270035913222,0.008950726966644357,-0.0181624895421484,0.012231973392487862,-0.03039446293463626
window_1,validation,0.1,0.025,price_momentum_5d,short_interest_change,down_10pct_5d,109,2860,585,24691,12,256,32,705,0.11009174311926606,0.08951048951048951,0.0547008547008547,0.02855291401725325,0.02058125360877655,0.02614794068360145,-0.0055666870748249005,-0.00842421171926245,-0.001438400045795653,0.0016054347444036307,0.0005697686333584302,-0.006985811673466798,0.0010356661110452006,-0.008021477784511998,-0.01379239957365202,-0.0035494010996638473,0.0076666938243837,0.0016742131280367268,-0.010242998473988173,0.005992480696346973,-0.016235479170335146,-0.010727501403076175,-0.004340550234313419,0.016421665389790403,0.0022408520021262005,-0.0063869511687627565,0.014180813387664203,-0.02056776455642696,-0.011189696219812355,-0.004862675198898723,0.018358801616954325,0.003914604667890537,-0.0063270210209136315,0.014444196949063789,-0.02077121796997742,-0.0016731184854169377,-0.00035509324645319564,0.026157163578613248,0.008910645918457739,-0.001318025238963742,0.01724651766015551,-0.01856454289911925
window_1,validation,0.1,0.01,price_momentum_5d,short_interest_change,down_10pct_5d,53,2916,289,24987,5,263,20,717,0.09433962264150944,0.0901920438957476,0.06920415224913495,0.028694921359106736,0.00414757874576184,0.04050923089002822,-0.03636165214426638,-0.004787099491854925,-0.001638664929803451,0.0011965397853643048,0.0005867665847744361,-0.0031484345620514742,0.0006097732005898687,-0.003758207762641343,-0.004946294099305754,-0.003906894756962781,0.0020070143883873983,0.0018106609466272594,-0.0010393993423429733,0.0001963534417601389,-0.0012357527841031122,0.0011931361478250751,-0.004679872269858165,0.011887366631928603,0.002461283950890385,0.00587300841768324,0.009426082681038218,-0.0035530742633549774,0.002338361694748716,-0.005230062114757055,0.016679119711256695,0.004105140161053761,0.007568423809505771,0.012573979550202934,-0.005005555740697163,0.020765965981450387,-0.0007882485585677107,0.022634975830129724,0.009155688600120915,0.0215542145400181,0.013479287230008808,0.00807492731000929
