split,evaluation,prior_return_tail,si_tail,prior_return_signal,si_signal,target,base_n,high_si_n,other_si_n,high_si_events,other_si_events,high_si_event_rate,other_si_event_rate,event_rate_difference,event_rate_lift,target_difference,target_bootstrap_ci_low,target_bootstrap_ci_high,high_si_mean_return_1d,other_si_mean_return_1d,return_difference_1d,return_ci_low_1d,return_ci_high_1d,high_si_mean_return_3d,other_si_mean_return_3d,return_difference_3d,return_ci_low_3d,return_ci_high_3d,high_si_mean_return_5d,other_si_mean_return_5d,return_difference_5d,return_ci_low_5d,return_ci_high_5d,high_si_mean_return_10d,other_si_mean_return_10d,return_difference_10d,return_ci_low_10d,return_ci_high_10d,high_si_mean_return_20d,other_si_mean_return_20d,return_difference_20d,return_ci_low_20d,return_ci_high_20d
window_1,validation,0.2,0.2,price_momentum_5d,short_interest_change,down_10pct_5d,5798,228,5570,18,349,0.07894736842105263,0.06265709156193895,0.016290276859113675,1.259990951591012,0.016290276859113675,-0.01764693376169328,0.05486885413713816,-0.005339895864399157,-0.0005052891494988057,-0.0048346067149003516,-0.010367927432513276,0.0006280181221259434,-0.005556198061927245,-0.0010094601864364652,-0.004546737875490779,-0.01450504059731297,0.005657750572685795,-0.002917009600488701,-0.001074316899916596,-0.0018426927005721048,-0.014527211821407095,0.011522977189043581,-0.0028093420251951583,-0.0016899421061107064,-0.0011193999190844519,-0.017114604559672852,0.014541374374495354,-0.00092830220002156,0.002540407890314733,-0.003468710090336293,-0.028212361406490253,0.02227082281262415
window_1,validation,0.2,0.1,price_momentum_5d,short_interest_change,down_10pct_5d,5798,228,5570,18,349,0.07894736842105263,0.06265709156193895,0.016290276859113675,1.259990951591012,0.016290276859113675,-0.016490637500393715,0.05371641626507919,-0.005339895864399157,-0.0005052891494988057,-0.0048346067149003516,-0.010582937869554495,0.0007376917211715223,-0.005556198061927245,-0.0010094601864364652,-0.004546737875490779,-0.014882490520815226,0.005141632869559128,-0.002917009600488701,-0.001074316899916596,-0.0018426927005721048,-0.01523257407693838,0.010565379763526667,-0.0028093420251951583,-0.0016899421061107064,-0.0011193999190844519,-0.016833004309436777,0.014510301706580202,-0.00092830220002156,0.002540407890314733,-0.003468710090336293,-0.028756316726826672,0.020471558841990842
window_1,validation,0.2,0.05,price_momentum_5d,short_interest_change,down_10pct_5d,5798,226,5572,18,349,0.07964601769911504,0.0626346015793252,0.017011416119789846,1.2715977381646677,0.017011416119789846,-0.016957099022292244,0.055645960523222904,-0.005459324943445106,-0.0005021804347761596,-0.004957144508668946,-0.01060719897491512,0.0007670994960978184,-0.0058493240271182126,-0.0009992030090527292,-0.004850121018065484,-0.016089413928694642,0.0054634325206037535,-0.0032376293167503014,-0.0010619739942321065,-0.0021756553225181947,-0.01596713845000887,0.010487622529641425,-0.0032842105693074246,-0.0016710832598918974,-0.0016131273094155273,-0.018506023686659757,0.014642545929312871,-0.0007545447652279701,0.0025321152484547122,-0.0032866600136826824,-0.028527744046246205,0.022245940095788588
window_1,validation,0.2,0.025,price_momentum_5d,short_interest_change,down_10pct_5d,5798,184,5614,13,354,0.07065217391304347,0.06305664410402564,0.007595529809017829,1.1204556619995087,0.007595529809017829,-0.02831043509239324,0.046981343225786426,-0.005515726176154376,-0.0005374177419627629,-0.004978308434191613,-0.010952370885961323,0.0007188877617841312,-0.003797572877341771,-0.0011027347679265474,-0.002694838109415224,-0.014788923451894125,0.009395519903515758,0.0034726055565403374,-0.0012981800398735818,0.00477078559641392,-0.009239553797577436,0.01873438704206579,0.005447698867122354,-0.0019693416644694767,0.007417040531591831,-0.009001182014225556,0.024609834674802683,0.014808673548735236,0.0019974391012612847,0.012811234447473951,-0.015414309738485869,0.03998560749955078
window_1,validation,0.2,0.01,price_momentum_5d,short_interest_change,down_10pct_5d,5798,91,5707,6,361,0.06593406593406594,0.06325565095496759,0.002678414979098348,1.042342698852394,0.002678414979098348,-0.043555533304963825,0.06288455280482613,-0.003560506785457187,-0.0006497197656062294,-0.0029107870198509574,-0.010319991142539403,0.004993885803132757,0.0012360291963391102,-0.0012269116967649175,0.0024629408931040276,-0.014622249348510136,0.01985965235352447,0.011042336004979595,-0.0013411382333800605,0.012383474238359655,-0.00886053920722263,0.033217825611549096,0.014888591954000354,-0.00199901338366833,0.016887605337668685,-0.007768659963856936,0.04211121760778368,0.029497200664870844,0.0019719947059654605,0.027525205958905383,-0.016435708687441267,0.07035053473588805
window_1,validation,0.1,0.2,price_momentum_5d,short_interest_change,down_10pct_5d,2971,140,2831,16,252,0.11428571428571428,0.08901448251501236,0.025271231770701924,1.2839002267573696,0.025271231770701924,-0.023315839935409005,0.0816294090932028,-0.009249658235773842,-0.0013268517180096077,-0.007922806517764235,-0.016182861289299737,0.00020520038054445738,-0.016774542100180062,-0.003289405044978243,-0.01348513705520182,-0.029156376894837688,0.0013921210593183125,-0.017772296185029457,-0.003915947450454471,-0.013856348734574985,-0.031955844909441165,0.004042272251507645,-0.022098707716711123,-0.004262666284985934,-0.017836041431725187,-0.03906949545405875,0.0027389836191117297,-0.018921832023005906,0.0004972538348474096,-0.019419085857853315,-0.05441127494272244,0.016219401120433154
window_1,validation,0.1,0.1,price_momentum_5d,short_interest_change,down_10pct_5d,2971,140,2831,16,252,0.11428571428571428,0.08901448251501236,0.025271231770701924,1.2839002267573696,0.025271231770701924,-0.02473564363929959,0.07978698844426502,-0.009249658235773842,-0.0013268517180096077,-0.007922806517764235,-0.016109210359933596,0.0007422260712282779,-0.016774542100180062,-0.003289405044978243,-0.01348513705520182,-0.027988622039888843,0.0016413420551269606,-0.017772296185029457,-0.003915947450454471,-0.013856348734574985,-0.03175192028236435,0.004421218206852878,-0.022098707716711123,-0.004262666284985934,-0.017836041431725187,-0.03816302029594975,0.002459660464101399,-0.018921832023005906,0.0004972538348474096,-0.019419085857853315,-0.054559667481327664,0.01462151042348852
window_1,validation,0.1,0.05,price_momentum_5d,short_interest_change,down_10pct_5d,2971,139,2832,16,252,0.11510791366906475,0.08898305084745763,0.026124862821607128,1.2935936964713943,0.026124862821607128,-0.02354629008657481,0.0873596461813599,-0.009328905867550173,-0.0013257596931864632,-0.00800314617436371,-0.016316118762077076,0.0008655903171468657,-0.016899456917187475,-0.003288035686747725,-0.013611421230439751,-0.028650915586664293,0.0014461676075212143,-0.018056827731804222,-0.003906874874088964,-0.014149952857715259,-0.03340811635807382,0.004753022777896873,-0.02213912855450879,-0.004266980389850995,-0.017872148164657795,-0.0410850381697709,0.0035276241614884277,-0.01771565577771861,0.00043119536593752794,-0.018146851143656138,-0.05291213968215686,0.017098061254233896
window_1,validation,0.1,0.025,price_momentum_5d,short_interest_change,down_10pct_5d,2971,109,2862,12,256,0.11009174311926606,0.08944793850454227,0.020643804614723787,1.23079128440367,0.020643804614723787,-0.03799013008161355,0.07944563050154187,-0.00842421171926245,-0.0014441056216959926,-0.006980106097566458,-0.015663014807218358,0.0016301827152309719,-0.01379239957365202,-0.0035490461295704222,-0.010243353444081598,-0.02729255249528318,0.006436544768231196,-0.010727501403076175,-0.00433433649378247,-0.006393164909293705,-0.02758912180832267,0.0146068351564847,-0.011189696219812355,-0.004871331392444162,-0.006318364827368193,-0.02906633009515431,0.017288181206694297,-0.0016731184854169377,-0.00037000732419893993,-0.0013031111612179977,-0.04002793082301587,0.038320354047025156
window_1,validation,0.1,0.01,price_momentum_5d,short_interest_change,down_10pct_5d,2971,53,2918,5,263,0.09433962264150944,0.09013022618231666,0.004209396459192785,1.04670349379439,0.004209396459192785,-0.06647306244907988,0.08620953871222202,-0.004787099491854925,-0.0016441237469586108,-0.0031429757448963144,-0.014363038877497562,0.008257221758875001,-0.004946294099305754,-0.0039063015726852,-0.0010399925266205545,-0.027484457086290645,0.02691247173566527,0.0011931361478250751,-0.004673545206982679,0.005866681354807754,-0.026624481084219498,0.03766551962951137,0.002338361694748716,-0.005238300377983694,0.00757666207273241,-0.024573761486956558,0.04236996112154495,0.020765965981450387,-0.0008025795317973536,0.02156854551324774,-0.04140199552106134,0.08417474565626426
