group,value,rows_selected,events,event_rate,baseline_event_rate,lift,mean_return,rest_mean_return,return_difference,bootstrap_ci_low,bootstrap_ci_high,selected_fraction
period,2025-H2,0,0,,0.008695652173913044,,,0.008621862805407481,,,,0.0
period,2026-H1,20,4,0.2,0.04117679835069928,4.857104194857916,-0.027430449765720906,0.0008204704171567524,-0.02825092018287766,-0.0720570978919157,0.015519173191158715,0.000726480203414457
period,2026-H2,6,0,0.0,0.031830583344160064,0.0,-0.016942246655971334,0.0024467384475228685,-0.019388985103494204,,,0.0005083453359315428
