window,evaluation,target,momentum_tail,si_tail,momentum_n,momentum_events,momentum_event_rate,momentum_plus_si_n,momentum_plus_si_events,momentum_plus_si_event_rate,incremental_event_rate_difference,incremental_event_rate_lift
window_1,validation,down_5pct_5d,0.2,0.2,5798,1069,0.18437392204208347,228,56,0.24561403508771928,0.06124011304563581,1.33215170761328
window_1,validation,down_5pct_5d,0.2,0.1,5798,1069,0.18437392204208347,228,56,0.24561403508771928,0.06124011304563581,1.33215170761328
window_1,validation,down_5pct_5d,0.2,0.05,5798,1069,0.18437392204208347,226,56,0.24778761061946902,0.06341368857738555,1.3439406607779996
window_1,validation,down_5pct_5d,0.2,0.025,5798,1069,0.18437392204208347,184,40,0.21739130434782608,0.03301738230574261,1.1790783747508846
window_1,validation,down_5pct_5d,0.1,0.2,2971,681,0.2292157522719623,140,45,0.32142857142857145,0.09221281915660914,1.4022970421648837
window_1,validation,down_5pct_5d,0.1,0.1,2971,681,0.2292157522719623,140,45,0.32142857142857145,0.09221281915660914,1.4022970421648837
window_1,validation,down_5pct_5d,0.1,0.05,2971,681,0.2292157522719623,139,45,0.3237410071942446,0.09452525492228228,1.4123855100941272
window_1,validation,down_5pct_5d,0.1,0.025,2971,681,0.2292157522719623,109,31,0.28440366972477066,0.05518791745280835,1.2407684328227513
window_1,validation,down_5pct_5d,0.05,0.2,1542,424,0.27496757457846954,81,33,0.4074074074074074,0.13243983282893784,1.481656184486373
window_1,validation,down_5pct_5d,0.05,0.1,1542,424,0.27496757457846954,81,33,0.4074074074074074,0.13243983282893784,1.481656184486373
window_1,validation,down_5pct_5d,0.05,0.05,1542,424,0.27496757457846954,80,33,0.4125,0.13753242542153044,1.5001768867924525
window_1,validation,down_5pct_5d,0.05,0.025,1542,424,0.27496757457846954,58,21,0.3620689655172414,0.08710139093877184,1.3167696811971372
window_1,validation,down_5pct_5d,0.025,0.2,771,261,0.33852140077821014,50,25,0.5,0.16147859922178986,1.4770114942528736
window_1,validation,down_5pct_5d,0.025,0.1,771,261,0.33852140077821014,50,25,0.5,0.16147859922178986,1.4770114942528736
window_1,validation,down_5pct_5d,0.025,0.05,771,261,0.33852140077821014,49,25,0.5102040816326531,0.17168268085444294,1.5071545859723199
window_1,validation,down_5pct_5d,0.025,0.025,771,261,0.33852140077821014,37,18,0.4864864864864865,0.14796508570827638,1.4370922646784716
window_1,test,down_5pct_5d,0.2,0.2,6187,1178,0.1903992241797317,199,56,0.2814070351758794,0.09100781099614769,1.4779841482454716
window_1,test,down_5pct_5d,0.2,0.1,6187,1178,0.1903992241797317,199,56,0.2814070351758794,0.09100781099614769,1.4779841482454716
window_1,test,down_5pct_5d,0.2,0.05,6187,1178,0.1903992241797317,195,56,0.28717948717948716,0.09678026299975545,1.5083017717992249
